Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date,Creator,Creator Id,Last Viewed,Resolved,Custom field (Resolved At),Time Spent,Custom field (Bug Category),Custom field (Business Domain),Custom field (Last Comment),Description
Bug,TSTAUTO-31381,390082,BACARDI - Cloud challenges - Unidentified error while secure resources,Ashwani Kumar (DHL IT Services),63442b4f754fb6b373b90404,"Sandeep Reyyi (DHL IT Services), external",712020:d5fecd38-a07c-41c1-9c70-b44decdbb854,Highest,To Do,,11/4/2025 7:23,11/4/2025 7:27,,"Sandeep Reyyi (DHL IT Services), external",712020:d5fecd38-a07c-41c1-9c70-b44decdbb854,,,,,Configuration,Bacardi,,"Steps to reproduce 

* Create integration XML using template *""CreateOrderTemplate_FTL""*
→ Order ID: *TAAS_20251029221727*, File: {{CreateOrderTemplate_FTL_new_577.xml}}
* Login to OTM Cloud as *EUBacardiOTMuser* → Role: *SUPER_USER_ROLE*
* Upload XML to create order
→ Transmission ID: *1182163*, Status: *PROCESSED*
* Navigate to *Order Release Workbench* and verify order release.
* Create *Manual Shipment* in OTM Cloud:
** Transport Mode: _OCEAN_FCL_
** Service Provider: _HIL_NLD_
** Estimated Cost: _400 EUR_
→ Shipment ID: *1000005270*
* Navigate to *Shipment Dispatch Workbench* and search shipment by *OrderReleaseID*.
* Edit shipment and update references:
** MOVE_TYPE: _IMPORT_
** SERVICE_TYPE: _CYP_TO_CYP_
** LLP_RESPONSIBILITY: _NET-AUDIT-WITH-TAX-CAPTURE-AND-PAYMENT_
* Perform *Secure Resource* for the shipment.

h1. Unidentified error while secure resources

!image-20251104-052357.png|width=480,alt=""image-20251104-052357.png""!"
Bug,TSTAUTO-31380,390078,BACARDI - Cloud challenges -Unable to approve invoice,Ashwani Kumar (DHL IT Services),63442b4f754fb6b373b90404,"Sandeep Reyyi (DHL IT Services), external",712020:d5fecd38-a07c-41c1-9c70-b44decdbb854,Highest,To Do,,11/4/2025 7:23,11/4/2025 7:15,,"Sandeep Reyyi (DHL IT Services), external",712020:d5fecd38-a07c-41c1-9c70-b44decdbb854,,,,,Configuration,Bacardi,,"Steps to reproduce 

* Create integration XML using template *""CreateOrderTemplate_FTL""*
→ Order ID: *TAAS_20251029224057*, File: {{CreateOrderTemplate_FTL_new_616.xml}}
* Login to OTM Cloud as *EUBacardiOTMuser* → Role: *SUPER_USER_ROLE*
* Upload XML to create order → Transmission ID: *1181440*, Status: *PROCESSED*
* Navigate to *Order Release Workbench* and verify order release.
* Plan shipment through *Bulk Plan*
→ Bulk Plan ID: *20251029-0023*, Shipment ID: *1000005278*, Status: *COMPLETED*
* Navigate to *Shipment Dispatch Workbench* and verify shipment.
* Perform *Secure Resource* → Shipment tendered successfully.
* *Accept Tender* → Shipment status updated to _ACCEPTED_.
* Add shipment tracking events:
** {{ARRIVED_AT_PICKUP_LOCATION}}
** {{COMPLETED_UNLOADING}}
** {{COST_OK}}
* Switch role to *FBA_SUPER_USER_ROLE* and navigate to *Invoice Workbench*.
* Search invoice using {{ManualInvoiceShipmentID}}.
* Verify invoice approval error message → Edited invoice successfully.
* Attempt to *Approve Invoice* using {{""ApproveMenu""}}.

h1. Unable to approve invoice as seen with below error (it works with only one user)

!image-20251104-051502.png|width=480,alt=""image-20251104-051502.png""!"
Bug,TSTAUTO-31379,390077,BACARDI - Cloud challenges -External Messages tranmisions are not  gernerated,Ashwani Kumar (DHL IT Services),63442b4f754fb6b373b90404,"Sandeep Reyyi (DHL IT Services), external",712020:d5fecd38-a07c-41c1-9c70-b44decdbb854,Highest,To Do,,11/4/2025 7:23,11/4/2025 7:27,,"Sandeep Reyyi (DHL IT Services), external",712020:d5fecd38-a07c-41c1-9c70-b44decdbb854,,,,,Configuration,Bacardi,,"Steps to reproduce 

* Login to OTM Cloud as *TaasOTMuser* → User ID: {{EUBacardiOTMuser}}
* Create order XML using template *""CreateOrderTemplate_SAP TR""*
→ Order ID: *TAAS_20251029221222*, File: {{CreateOrderTemplate_SAP TR_new_323.xml}}
* Switch role to *TAAS_ROBOT*, upload XML to create order
→ Transmission ID: *1181395*, Status: *PROCESSED*
* Switch role to *SUPER_USER_ROLE*, navigate to *Order Release Workbench*, verify order release.
* Plan shipment through *Bulk Plan (OTM Cloud)*
→ Status: *COMPLETED*, Bulk Plan ID: *20251029-0018*, Shipment ID: *1000005265*
* Navigate to *Shipment Dispatch Workbench*, verify Shipment ID is displayed.
* Verify shipment status:
** Before: *TENDERED*
** After Accept Tender: *ACCEPTED*
* Switch role to *TAAS_ROBOT*.
* Verify external system message {{""externalSystemAs""}} is triggered for *ShipmentID 1000005265*.
* 

h1. External Messages tranmisions are not gernerated

!image-20251104-051201.png|width=480,alt=""image-20251104-051201.png""!"
Bug,TSTAUTO-31377,390075,BACARDI - Cloud challenges - Do not have access error,Ashwani Kumar (DHL IT Services),63442b4f754fb6b373b90404,"Sandeep Reyyi (DHL IT Services), external",712020:d5fecd38-a07c-41c1-9c70-b44decdbb854,Highest,To Do,,11/4/2025 7:23,11/4/2025 7:15,,"Sandeep Reyyi (DHL IT Services), external",712020:d5fecd38-a07c-41c1-9c70-b44decdbb854,,,,,Configuration,Bacardi,,"Steps to reproduce 

* Create integration XML using template {{""CreateOrderTemplate_SAP""}}.
→ Order ID: *TAAS_20251029233214*, File: *SAPTR_new_636.xml*
* Login to OTM Cloud as *TaasOTMuser* → Role: *SUPER_USER_ROLE*
* Create order via XML upload (Transmission ID: *1181561*, Status: *PROCESSED*)
* Navigate to *Order Release Workbench* and verify order ID.
* Plan shipment through *Bulk Plan* with ParameterSetId = {{""parameterSetid""}}
* Getting you do not have access error as below

!image-20251104-050742.png|width=480,alt=""image-20251104-050742.png""!"
Bug,TSTAUTO-31374,390067,FORD_KOC - Unable to Perform Secure Resource,"Rahul Raje (DHL IT Services), external",712020:c3bb09f2-f8d3-4149-a066-0b631e82864b,"Jagadish Kumar V (DHL Supply Chain), external",712020:75ee23df-d858-40f6-94da-cbba8ec1e127,Highest,To Do,,11/4/2025 7:23,11/4/2025 6:05,,"Jagadish Kumar V (DHL Supply Chain), external",712020:75ee23df-d858-40f6-94da-cbba8ec1e127,,,,,Functional,FORD_KOC,,"*Req. Id*: {{PB_07_02}}
*Test Steps to reproduce*:

* Login to OTM as ""FordKOCOTMuser"" user
* Create integration xml for order creation using template ""*PB_08_E_Order_release.xml*""
* Switch OTM role as ""INTEGRATION_MANAGER"" and upload xml file (_Transmission ID : 1202630_)
* Switch OTM role as ""PLANNER""
* Navigate to OTM screen ""Order Release"" 
* Verify Order Release is displayed (*_Order Release ID : TAAS_20251104033835_*)
* Plan shipment through Bulk Plan with ParameterSetId as ""*DHL_EUL_AUT_V01*"" and save shipmentID
* Navigate to OTM screen ""Shipments Dispatch""
* Search shipment by using ""ShipmentID"" (*_Shipment ID : B40000000641_*)
* Then Verify ""SECURE RESOURCE_NOT STARTED"" field value for ""Shipments""
* *Perform Secure Resource for Shipment*
* -_Then Verify ""SECURE RESOURCE_TENDERED"" field value for ""Shipments""_-
* -_And Navigate to OTM screen ""Order Release""_-
* -_Then Verify Order Release is displayed_-
* -_And Verify ""ErrorMessage"" for Unassign Order Release_-

*Expected* : Should be able to Perform Secure Resource 

*Actual* : Unable to Perform Secure Resource

*Test Report* : [https://dhl.atlassian.net/wiki/download/attachments/316611317/TSTAUTO-31373_2025-11-04_031148.html?api=v2|https://dhl.atlassian.net/wiki/download/attachments/316611317/TSTAUTO-31373_2025-11-04_031148.html?api=v2]

*Screenshot*:

!image-20251104-040128.png|width=842,alt=""image-20251104-040128.png""!"
Bug,TSTAUTO-31316,389853,EU01_VITESCO2.0_Spot Bid tender.Shipment is not displayed in  SERVPROV domain even though service provider user association already exists,,,"Mareeswari N (DHL IT Services), external",712020:fc8b576f-b1e3-4b16-b71a-940bd7e8bd5b,High,To Do,,11/4/2025 7:23,11/3/2025 9:30,3/29/2023 0:00,"Mareeswari N (DHL IT Services), external",712020:fc8b576f-b1e3-4b16-b71a-940bd7e8bd5b,,,,,Data,VITESCO,,"*Environment* - TEST

h2. Environment URL

[https://dscotmeu01test.dhl.com/|https://dscotmuk01test.dhl.com/]

h2. Browser Version

Chrome

h2. Test User Account

Username:- [otm.otm@dhl.com|mailto:otm.otm@dhl.com] 

h2. Steps to Reproduce:

#  Login to application using VIT domain and Switch role to ""SUPER_USER_ROLE""
#   Navigate to ""All Shipments""   And Search the shipment in Shipments page
# Edit Service Provider and Cost
      | Service Provider ID | Cost | Currency |
      | UNKNOWN_CARRIER     | 0    | EUR      |
# Then Do SpotBid Order
      | Service Provider ID | ServiceProviderIDOperator |
      | DAS_FRA_R               | Contains                  |
#  And Logout and change domain to ""SERVPROV""
#  Switch role to ""VIT_SERPROV""
# Navigate to ""Tendering""
# Search shipment 

Expected : Shipment should be displayed

Actual : Got no data was returmed

Test data  Shipment  # 1000005752

Order #VIT-20251103123440685

!image-20251103-072329.png|width=890,alt=""image-20251103-072329.png""!



  

 

UAAC Portal screen for ref:

!image-20251103-072937.png|width=890,alt=""image-20251103-072937.png""!"
Bug,TSTAUTO-31210,389423,EU01_VITESCO2.0_Got Error message when we tried to perform 'Move order to existing shipment',,,"Mareeswari N (DHL IT Services), external",712020:fc8b576f-b1e3-4b16-b71a-940bd7e8bd5b,Highest,To Do,,10/31/2025 11:55,10/31/2025 13:25,,"Mareeswari N (DHL IT Services), external",712020:fc8b576f-b1e3-4b16-b71a-940bd7e8bd5b,,,,,Data,VITESCO,,"env : EU01test.dhl.com

Steps :

#   Login to OTM as ""TaasOTMuser"" using SSO with Domain ""VIT""
# Navigate to integration manager and upload the TEST TR.xml to create order 
# Note down the transmission number and verify the status in transmission manager screen
# Switch role to ""PLANNER_ROLE""
# Navigate to ""All Orders""  & Search order in order release
# Plan shipment through Bulk Plan with ParameterSetId as ""VIT_PARAMETER_SET""
# Note down shipment id
# Switch role to ""TAAS_ROBOT ( Default )""
# Navigate to integration manager and upload the TEST TR.xml to create order 
# Note down the transmission number and verify the status in transmission manager screen
#  Switch role to ""PLANNER_ROLE"" & Navigate to ""All Orders""
# Search order in order release
# Pan shipment through Bulk Plan with ParameterSetId as ""VIT_PARAMETER_SET""
# click Move Order to Existing Shipment action and enter shipment id noted in step 7

Expected Result : Success page should be displayed

Actual Result : Got error “*Failed to build one shipment with the given* order”

[https://dhl.atlassian.net/wiki/download/attachments/316580831/TSTAUTO-31206_2025-10-31_081031.html?api=v2|https://dhl.atlassian.net/wiki/download/attachments/316580831/TSTAUTO-31206_2025-10-31_081031.html?api=v2]

*Test data :*  

Order 1 # VIT-20251031065134763 Shipment 1 # 1000005730

Order 2 # VIT-20251031065608750 , Shipment 2 # 1000005731



No of testcases affected:4

*Testcases*

# [+VIT_60_2_Move planned order to existing shipment_RC02-S07+|]
# [+VIT_60_3_Move unplanned order with order movement to existing shipment_RC02-S07+|]
# [+VIT_60_4_Move planned Order with order movement to existing shipment _RC02-S07+|]
# VIT_60_1_Move unplanned order to existing shipment_RC02-S07

h5. 

[https://dhl.atlassian.net/wiki/download/attachments/316580831/TSTAUTO-31206_2025-10-31_081031.html?api=v2|https://dhl.atlassian.net/wiki/download/attachments/316580831/TSTAUTO-31206_2025-10-31_081031.html?api=v2]

[https://dhl.atlassian.net/wiki/download/attachments/316580831/TSTAUTO-31215_2025-10-31_111039.html?api=v2|https://dhl.atlassian.net/wiki/download/attachments/316580831/TSTAUTO-31215_2025-10-31_111039.html?api=v2]

!image-20251031-100029.png|width=715,alt=""image-20251031-100029.png""!"
Bug,TSTAUTO-31154,389138,LP02_AIRBUSDIGTRA_ SQL Error occurs while performing blank search in shipments screen,"Satyam Rai (DHL Supply Chain), external",712020:58f38de8-3be7-42a1-ad47-941ee9d7ef29,"Jagadeeshwaran V (DHL IT Services), external",712020:61635a9c-a283-4f94-aa3d-d74791c6e513,High,Ready for Testing,,10/30/2025 16:39,10/31/2025 13:20,,"Jagadeeshwaran V (DHL IT Services), external",712020:61635a9c-a283-4f94-aa3d-d74791c6e513,,,,,Data,AIRBUSDIGITAL,,"Environment: Test
Url : [https://dscotmlp02test.dhl.com/|https://dscotmlp02test.dhl.com/]

user : [otm.otm@dhl.com|mailto:otm.otm@dhl.com]

role : AIRBUS_1B_CDC_USER

Steps : 

    Given Login to OTM as ""TaasOTMuser"" using SSO with Domain ""AIRBUS""
    Then Switch role to ""*AIRBUS_1B_CDC_USER*""
    And Navigate to ""Shipments""
    And Perform blank search
  

+*Expected Result:*+  All shipments screen to be displayed

+*Actual  Result:*+  *SQL Error occurs*


!image-20251030-144357.png|width=465,alt=""image-20251030-144357.png""!

Impact GTs : 1

Automation Report:

[https://dhl.atlassian.net/wiki/download/attachments/316581922/TSTAUTO-31125_2025-10-30_101012.html?api=v2|https://dhl.atlassian.net/wiki/download/attachments/316581922/TSTAUTO-31125_2025-10-30_101012.html?api=v2]

 

 "
Bug,TSTAUTO-31152,389131,"LP02_AIRBUSDIGTRA_TR status expected is ""MANUAL"" but found ""MANUAL-FAILED""",,,"Jagadeeshwaran V (DHL IT Services), external",712020:61635a9c-a283-4f94-aa3d-d74791c6e513,High,To Do,,10/30/2025 16:21,10/30/2025 16:45,,"Jagadeeshwaran V (DHL IT Services), external",712020:61635a9c-a283-4f94-aa3d-d74791c6e513,,,,,Data,AIRBUSDIGITAL,,"Environment: Test
Url : [https://dscotmlp02test.dhl.com/|https://dscotmlp02test.dhl.com/]

user : [otm.otm@dhl.com|mailto:otm.otm@dhl.com]

role : PLANNER_ROLE

Steps : 

 Given Create xml using template ""AIRBUS_19_2.xml"" with prefix ""TOPS""
    Given Login to OTM as ""TaasOTMuser"" using SSO with Domain ""AIRBUS""
    And Navigate to ""Integration Manager""
    And Upload OrderBase xml
    Then Navigate to ""TRANSMISSION MANAGER""
    And Verify the transmission status is ""Processed""
    Then Switch role to ""*PLANNER_ROLE*""
    And search order in ""All TRs""
    Then Verify the order is displayed in ""All TRs""
    Then Verify the Order Release details as ""TR Status"" is ""NEW""
    Then Verify the Order Release details as ""DOCS_HAZ"" is ""DOCS_HAZ_PENDING""
    Then Add Order Release Events for AIRBUS
      | ResponsibleParty | Status                | StatusCode            |
      | CONTROL TOWER    | DOCS_HAZ_NOT_REQUIRED | DOCS_HAZ_NOT_REQUIRED |
    Then Verify Order Release Events ""DOCS_HAZ_NOT_REQUIRED""
    *Then Verify the Order Release details as ""TR Status"" is ""MANUAL""*
  
  

+*Expected Result:*+  ""TR Status"" is ""MANUAL""

+*Actual  Result:*+ *""*TR Status"" is not ""MANUAL""


Order id: TOPS-20251030122844832

!image-20251030-142354.png|width=475,alt=""image-20251030-142354.png""!

Impact GTs : 1

Automation Report:

[https://dhl.atlassian.net/wiki/download/attachments/316581922/TSTAUTO-31142_2025-10-30_121024.html?api=v2|https://dhl.atlassian.net/wiki/download/attachments/316581922/TSTAUTO-31142_2025-10-30_121024.html?api=v2]

 

 "
Bug,TSTAUTO-31143,389085,EU01_VITESCO2.0_TOP - 'Quantity to be Released' field is not available multiple times to release multiple order lines from TOP,Gokulkrishnan Srinivasan (DHL IT Services),712020:47b1f9bf-5261-493d-9f4f-feac6d934d36,Senthil Kumar S (DHL IT Services),712020:cf93f38c-a74f-4e07-883a-55f519011c75,Medium,Ready for Testing,,10/30/2025 14:44,11/3/2025 7:37,,Senthil Kumar S (DHL IT Services),712020:cf93f38c-a74f-4e07-883a-55f519011c75,,,,,Configuration,VITESCO,,"env : EU01test.dhl.com

+*Steps :*+

# Create order VIT-20251029173243474 by uploading the xml (transmission id : 78139163)
# Launch TOP and search order VIT-20251029173243474
# Verify the ‘Quantity to be Released’ fields

Expected : 

Two ‘Quantity to be Released’ fields should be present

Actual : 

one ' ‘Quantity to be Released’ field is displayed

!image-20251030-125752.png|width=822,alt=""image-20251030-125752.png""!"
